Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
48.0,14.31114190020474,17.546802995329255,8.36408588918875,27.758596910316335,6.498395320133268,74.47902301517234,351.0419539696553,4880.6997971828305,5984.19597944769,2852.5041948189532,9466.84612975032,2216.2254376455135
49.0,34.89733313045991,44.85994249779877,15.525614248873094,47.382927187605695,14.06410276452753,156.729919829265,186.54016034147003,6160.780786341087,7919.581441470521,2740.894428895868,8364.989563148109,2482.8789571086018
50.0,19.636731148760255,44.658065917462736,9.736480824077592,8.083181261661046,29.183674709104167,111.29813386106579,277.4037322778684,5250.935198915567,11941.733502640605,2603.5713116102443,2161.472838046693,7803.82353879769
51.0,21.845345301848866,32.16536236898986,2.9798344359072866,1.6221469700287896,14.203570484422398,72.8162595611972,354.3674808776056,7522.826530499131,11076.70481052437,1026.1580781257333,558.614665682055,4891.247787188054
52.0,12.307033637647164,40.855929073809435,38.32228770161474,10.27685131450324,35.97775579260001,137.73985752017458,224.52028495965084,2640.108362956078,8764.425547204884,8220.908078056116,2204.593072475197,7717.958424837281
53.0,2.5224185756518964,4.238060611842309,23.88863192002582,45.69700710794971,19.706253362632577,96.05237157810231,307.8952568437954,751.4165294613822,1262.4981544843372,7116.31014146298,13612.921669415422,5870.399406890338
54.0,47.40540210862614,13.506397852716633,30.007676447658326,21.52697577605848,44.87661291480024,157.32306509985983,185.35386980028034,8312.720709185964,2368.3991305360582,5261.962188811617,3774.8385074287476,7869.28773813946
55.0,13.471018596645512,31.95379880037467,15.037430675391366,12.801912867781418,42.45523854760109,115.71939948779406,268.56120102441184,3483.0827473708505,8262.012595117285,3888.0961357505244,3310.077966503436,10977.277468645645
56.0,43.9385794180979,45.82700917645696,13.779621854921281,6.820589527038917,6.185604112269403,116.55140408878447,266.89719182243107,11287.69766517622,11772.829967052574,3539.9461589042758,1752.1902960697812,1589.0643261672913
57.0,19.63568286452978,10.02210378108208,35.38947538104652,35.494397827878636,34.57982730415119,135.1214871586882,229.75702568262358,4315.079263556323,2202.4277180131735,7777.085850207216,7800.143295050383,7599.159996979041
58.0,19.96859542338248,29.359073674694407,15.665027656344408,44.473588004081236,13.207112111761408,122.67339687026394,254.6532062594721,4885.380894828745,7182.791507322048,3832.4992422679634,10880.605899061271,3231.162323570736
59.0,10.51063684966537,16.55786517700355,38.74512397329662,12.405920350535672,44.79399025914495,123.01353660964617,253.97292678070767,2564.3108345420173,4039.670828473916,9452.761294246538,3026.7086973285304,10928.520905710102
60.0,12.941628893473068,38.18879521130031,46.74152777013526,39.07073901308664,14.607426023654678,151.55011691164995,196.8997661767001,2418.7874141357424,7137.476895561912,8735.980610980014,7302.311985896767,2730.1245082645037
61.0,46.600290462499565,34.63812054535592,14.167739899039884,19.951726476512082,16.066600188933577,131.42447757234103,237.15104485531793,10585.304669118083,7868.085273702052,3218.2169213052857,4532.05551580723,3649.5450201889107
62.0,7.739719213790039,7.522293880572332,4.212352409494416,38.11212345789156,11.065321531465159,68.6518104932135,362.696379013573,2729.770941285525,2653.0858135538197,1485.6814419577802,13442.00794011661,3902.6988367686854
63.0,34.6850864333007,48.91450676465229,44.813145599713245,47.40190379306864,9.22865762694902,185.04330021768388,129.91339956463224,4159.206628410191,5865.504794176656,5373.696634046456,5684.123429662497,1106.6397094655288
64.0,49.152848308452135,38.49582248248425,30.531983206463952,37.98134460954506,14.004468813780752,170.16646742072615,159.6670651585477,7356.562550509317,5761.556771817855,4569.632319981524,5684.556378486035,2096.007746462973
65.0,46.59151490726951,36.355026959442384,48.420253786861345,40.49146490772161,33.14091457843965,204.9991751397345,90.00164972053102,3727.3980555602748,2908.462132389772,3873.7001828356965,3239.383992218718,2651.327839522369
66.0,36.838332600794196,29.346270060361025,7.76441804732776,46.323874824044616,30.58117538953326,150.85407092206086,198.2918581558783,6936.358096767808,5525.663719609596,1461.9767016303801,8722.40846759967,5758.186338686032
67.0,29.45255020636439,16.337711872924473,12.980735654742368,46.370843073838415,41.462464517158836,146.6043053250285,206.79138934994302,5796.008275009399,3215.121018271867,2554.497004281093,9125.382633828844,8159.455998204401
68.0,33.105233944877384,38.4597573139157,32.678452613022216,40.494305003294976,8.939243071124668,153.67699194623495,192.6460161075301,6046.539092339627,7024.5214538491455,5968.589182327215,7396.12348389505,1632.717133957763
69.0,39.55835828683737,47.315959643478244,33.84742699223131,21.987195222749882,26.495358963712906,169.20429910900972,161.59140178198055,5996.706984895503,7172.692649014488,5130.97890446559,3333.0697450707207,4016.468606026003
70.0,47.587123739761985,2.2733446391244576,18.935088534861293,29.84376813004954,36.83694026791925,135.47626531171653,229.04746937656694,10423.839030104415,497.9703902209973,4147.683225982613,6537.201885548391,8069.038545263467
71.0,49.243063775931105,47.60400518214711,18.681896874730075,15.260950422140754,24.372328765401786,155.16224502035084,189.67550995929832,8847.772595898672,8553.273907207362,3356.6793479741477,2742.019049561709,4379.110599819242
72.0,27.543759445540836,44.00251867608386,2.0797269854439207,19.618152244095196,20.662815283669495,113.90697263483331,272.18605473033335,7221.589621467706,11536.846769880238,545.2754132297509,5143.605937978355,5417.502018846938
73.0,38.15106142817643,11.658922151881118,11.405730846140749,2.0411793039003547,45.02139190311144,108.2782856332101,283.4434287335798,10432.15704674599,3188.05564854826,3118.822149781081,558.1470675185348,12310.803768345022
74.0,32.27273955639182,36.86729263912608,3.0697756556495297,35.33880435581542,27.58166283039492,135.13027503737777,229.73944992524446,7091.594037702216,8101.198604754577,674.5508139663343,7765.329430162713,6060.779418374541
75.0,31.788068472633903,28.500778471799457,44.05065661286128,40.66431451358146,39.796278443466065,184.80009651434216,130.39980697131568,3827.2773080960874,3431.488226536884,5303.690553148209,4895.975618056078,4791.4642427700455
76.0,6.707573658333059,42.47030105666177,12.341201286341747,24.539295138320217,46.61565184295604,132.67402298261283,234.65195403477435,1506.8695291767017,9541.036120824207,2772.474984113144,5512.800603459676,10472.297275124805
77.0,6.39014193446903,15.209039733955318,34.33439619337809,34.278273658342854,24.397474533954522,114.60932605409981,270.78134789180035,1666.42982689075,3966.2338819608167,8953.770118360238,8939.134408026643,6362.406294120534
78.0,3.7789143625631576,42.31491658891223,14.321032683917762,31.24424606281448,31.91364501981554,123.57275471802318,252.85449056395365,917.7263224050832,10276.36751145647,3477.927096802578,7587.805460639625,7750.37200332616
79.0,33.4144369705834,28.32642285287498,10.7122676680943,27.77666545584272,38.02092251987732,138.25071546727273,223.49856906545455,7133.934479347378,6047.650745831798,2287.0538185842665,5930.2783282322625,8117.412552542323
80.0,25.700823447966567,12.474452707940438,23.59594013972441,23.282782388782632,1.7214299811674731,86.77542866558152,326.449142668837,8133.003545992163,3947.529864690704,7466.915027680988,7367.816525875361,544.7450417048791
81.0,33.24605807576586,37.875183980118614,39.37879029391348,7.947737110701863,47.644834981151824,166.09260444165164,167.8147911166967,5246.719710680556,5977.264248328876,6214.55556466216,1254.270471975833,7519.05968033996
82.0,8.95432710025485,37.31166619329801,30.369145033773318,6.13604399548476,33.91604328376363,116.68722560657457,266.62554878685086,2297.909106119872,9575.126813006893,7793.498510479544,1574.6656577215376,8703.723220374428
83.0,27.495898398541833,29.750896207054033,17.198583603432898,19.0488767030287,30.61893731730807,124.11319222936554,251.77361554126892,6647.782768370846,7192.981741572477,4158.163739990757,4605.515792491095,7402.851179237054
84.0,12.842332066125762,45.001633759109424,48.72423444158683,28.118231504076004,36.45300310222671,171.13943487312474,157.72113025375052,1897.0838079020807,6647.69220216098,7197.598982459925,4153.656938518723,5384.878819404403
85.0,12.340734517945513,42.826603704465505,15.12245253905499,31.82367194108146,19.780175486162058,121.89363818870953,256.21272362258094,3038.445857166563,10544.454741581365,3723.3402274939435,7835.392944285173,4870.130880180569
86.0,23.797113396810392,7.884789945883251,23.645261707131713,37.79724541177673,37.072599963845505,130.1970104254476,239.60597914910483,5463.95952239693,1810.3949159095412,5429.093466502811,8678.473541910005,8512.090614301816
87.0,15.958422151007959,9.364988477772346,31.14384957211793,8.37601814919362,34.660963436201015,99.50424178629287,300.99151642741424,4643.765461510644,2725.1321984722367,9062.596014377874,2437.350222857395,10086.046311135293
88.0,46.00433540596507,1.5447392086060097,22.4764888256225,2.900350945524251,42.301245231007755,115.22715961672559,269.5456807665488,11940.226551153848,400.9303895044266,5833.675593487918,752.7735606179953,10979.105490754635
89.0,16.651011372347767,47.46663829176078,41.47082022323202,6.4833745120777735,8.394707775053242,120.46655217447159,259.0668956510568,4147.215711961102,11822.36824632044,10329.008453103466,1614.7939630663964,2090.843805430301
90.0,10.098451915210722,15.948715578933903,18.78271427874688,22.36264767637568,22.806666160080358,89.99919560934754,320.0016087813049,3130.5363399159737,4944.127487464971,5822.67164369112,6932.456756285971,7070.103200563057
